ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Text_ID,Sentence_Number,Language_ID,OTC_ID,LGR_Conformance,Abbreviations
urua1244a-bride-1,igir,gigira,yesterday,"Yesterday,",bride,1,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-2,ati Tarak ka maf dik,ma-ti	Tarak	ka	m-af	{dike},1PL.EXCL-go	Tarak	DIST	1PL.EXCL-come_from	here,we went to Tarak from here,bride,2,urua1244,urua1244a,WORD_ALIGNED,"{""PL"": ""plural"", ""EXCL"": ""exclusive"", ""DIST"": ""distal""}"
urua1244a-bride-3,am empa,jam	empat,hour	four,[at] four o'clock.,bride,3,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-4,a,lau,1SG,"I,",bride,4,urua1244,urua1244a,WORD_ALIGNED,"{""SG"": ""singular""}"
urua1244a-bride-5,k,Eko,Eko,"Eko,",bride,5,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-6,ens in lama,Rens	in	laman,Rens	3SG.POSS	father,"Rens' father,",bride,6,urua1244,urua1244a,WORD_ALIGNED,"{""SG"": ""singular"", ""POSS"": ""possessive""}"
urua1244a-bride-7,ahda in nenan,Wahda	in	nenang,Wahda	3SG.POSS	mother,"Wahda's mother,",bride,7,urua1244,urua1244a,WORD_ALIGNED,"{""SG"": ""singular"", ""POSS"": ""possessive""}"
urua1244a-bride-8,arwa in nenan,Marwa	in	nenang,Marwa	3SG.POSS	mother,"Marwa's mother,",bride,8,urua1244,urua1244a,WORD_ALIGNED,"{""SG"": ""singular"", ""POSS"": ""possessive""}"
urua1244a-bride-9,in Ma,{Bin	Mas},Bin	Mas,"Bin Mas,'\footnote{This is not the Arabic \textit{bin} `son of'. Bin Mas is a woman from the village Mas. I don't know where \textit{bin} comes from.",bride,9,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-10,ens in nenan,Rens	in	nenang,Rens	3SG.POSS	mother,Rens' mother.,bride,10,urua1244,urua1244a,WORD_ALIGNED,"{""SG"": ""singular"", ""POSS"": ""possessive""}"
urua1244a-bride-11,ati manggait amin Tara,ma-ti	ma-nggait	amin	Tarak,1PL.EXCL-go	1PL.EXCL-reach	LOC	Tarak,We arrived in Tarak,bride,11,urua1244,urua1244a,WORD_ALIGNED,"{""PL"": ""plural"", ""EXCL"": ""exclusive"", ""LOC"": ""locative""}"
urua1244a-bride-12,setengga lim,isetengga	lima,half	five,half past four.,bride,12,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-13,atn,ma-tna,1PL.EXCL-go_landwards,We went landwards,bride,13,urua1244,urua1244a,WORD_ALIGNED,"{""PL"": ""plural"", ""EXCL"": ""exclusive""}"
urua1244a-bride-14,atip Tarak ini kapal,hatip	Tarak	ini	kapala,preacher	Tarak	3SG.POSS	house,[to] the preacher from Tarak's home.,bride,14,urua1244,urua1244a,WORD_ALIGNED,"{""SG"": ""singular"", ""POSS"": ""possessive""}"
urua1244a-bride-15,atna masa kapal,ma-tna	ma-sa	kapala,1PL.EXCL-go_landwards	1PL.EXCL-ascend	house,We went in the house.,bride,15,urua1244,urua1244a,WORD_ALIGNED,"{""PL"": ""plural"", ""EXCL"": ""exclusive""}"
urua1244a-bride-16,ina nosir ,sina	n-osir	o,3PL	3-say	QUOT,They said:,bride,16,urua1244,urua1244a,WORD_ALIGNED,"{""PL"": ""plural"", ""QUOT"": ""quotative""}"
urua1244a-bride-17,ancia boit amin unanam ef,mancia	boit	amin	unanam	efi,people	still	be_at	forest	still,{``}People are still in the forest.,bride,17,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-18,bana asa sayan,a-bana	a-sa	sayang,3-go	3-ascend	nutmeg,"They went up to harvest nutmeg'\footnote{\textit{Asa sayang}, literally `to ascend/climb a nutmeg tree', is the expression used for harvesting nutmeg.",bride,18,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-19,a boit alalaf efi jad,da	boit	a-lalaf	efi	jadi,DA	yet	3-return	not_yet	so,"[and] they haven't come back yet, so'\footnote{\textit{Da} is a relative clause marker and a conjunction meaning `then' or `so'. It doesn't seem to fulfill either of these functions here, so is glossed as \textsc{da}. It could mean `since; as', but no other instances of \textit{da} with that use are currently recorded. See Section~\ref{seccoord}.",bride,19,urua1244,urua1244a,WORD_ALIGNED,"{""DA"": ""unanalysed marker""}"
urua1244a-bride-20,ta lafa pis,ita	lafa	pisa,1PL.INCL	wait	a_little,we wait a bit.,bride,20,urua1244,urua1244a,WORD_ALIGNED,"{""PL"": ""plural"", ""INCL"": ""inclusive""}"
urua1244a-bride-21,am delapan b,jam	delapan	bi,hour	eight	or,"Eight o'clock maybe,",bride,21,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-22,am sembilan b,jam	sembilan	bi,hour	nine	or,"or nine o'clock,",bride,22,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-23,anambo mancia lala,kanambo	mancia	lalaf,then	people	return,then people will have come back.'',bride,23,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-24,mosir o yo malafa kadam,am-osir	o	yo	ma-lafa	{kadamo},1PL.EXCL-say	QUOT	yes	1PL.EXCL-wait	SOFT,"We said: ``Yes, we'll just wait, no worries.",bride,24,urua1244,urua1244a,WORD_ALIGNED,"{""PL"": ""plural"", ""EXCL"": ""exclusive"", ""QUOT"": ""quotative"", ""SOFT"": ""softener""}"
urua1244a-bride-25,mama maparlu imi jad,amama	ma-parlu	imi	jadi,1PL.EXCL.POSS	1PL.EXCL-need	2PL	so,"We came to ask for your help, so",bride,25,urua1244,urua1244a,WORD_ALIGNED,"{""PL"": ""plural"", ""EXCL"": ""exclusive"", ""POSS"": ""possessive""}"
urua1244a-bride-26,alafa pisa wai ta,ma-lafa	pisa	wai	tai,1PL.EXCL-wait	a_little	thing	not,if we have to wait a little it doesn't matter.'',bride,26,urua1244,urua1244a,WORD_ALIGNED,"{""PL"": ""plural"", ""EXCL"": ""exclusive""}"
urua1244a-bride-27,oari mengan ta,toari	mengan	tai,long	a_little_more	not,"Before long,",bride,27,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-28,ancia ruang mulai am,mancia	ruang	mulai	a-ma,people	village	start	3-come,people from the village began to come.,bride,28,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-29,"arwanas, matafas",marwanas	matafasi,men	women,Men [and] women,bride,29,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-30,m,a-ma,3-come,came.,bride,30,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-31,o matafasi da dum marwanas kuran,bo	matafasi	da	dum	marwanas	kurang,but	women	DA	many	men	less,"But it were many women, not so many men.",bride,31,urua1244,urua1244a,WORD_ALIGNED,"{""DA"": ""unanalysed marker""}"
urua1244a-bride-32,ma hatip Tarak neda,a-ma	hatip	Tarak	n-edat,3-come	preacher	Tarak	3-ask,"They came, [and] the preacher from Tarak asked:",bride,32,urua1244,urua1244a,WORD_ALIGNED,{}
urua1244a-bride-33,ancia punit so,mancia	punit	som,peopl	finished	IAM,{``}Is this everyone?'',bride,33,urua1244,urua1244a,WORD_ALIGNED,"{""IAM"": ""iamitive""}"
urua1244a-bride-34,ancia ruang nosir o punit som habi,mancia	ruang	n-osir	o	punit	som	habis,people	village	3-say	QUOT	finished	IAM	after_all,"The village people said: ``That's it. After all,",bride,34,urua1244,urua1244a,WORD_ALIGNED,"{""QUOT"": ""quotative"", ""IAM"": ""iamitive""}"
urua1244a-bride-35,isik abana Pakpa,fisik	a-bana	Pakpak,some	3-walk	Fakfak,"some went to Fakfak,",bride,35,urua1244,urua1244a,WORD_ALIGNED,{}
